Id	LST	M3	M3_abs
TCGA-A8-A06N	15	0	0
TCGA-A8-A06O	16	0	0
TCGA-A8-A06P	5	0	0
TCGA-A8-A06Q	17	0.042463708	4.2463708
TCGA-A8-A06R	25	0.164669842	16.4669842
TCGA-A8-A06T	13	0	0
TCGA-A8-A06U	19	0	0
TCGA-A8-A06X	27	0.389559354	38.9559354
TCGA-A8-A06Y	3	0	0
TCGA-A8-A06Z	15	0.420253054	42.0253054
TCGA-A8-A075	28	0.399477929	39.9477929
TCGA-A8-A076	25	0.18483993	18.483993
TCGA-A8-A079	26	0	0
TCGA-A8-A07B	7	0	0
TCGA-A8-A07E	11	0	0
TCGA-A8-A07G	21	0.292639686	29.2639686
TCGA-A8-A07I	10	0.100132557	10.0132557
TCGA-A8-A07J	2	0	0
TCGA-A8-A07L	27	0.21323176	21.323176
TCGA-A8-A07O	9	0	0
TCGA-A8-A07P	10	0	0
TCGA-A8-A07R	45	0.450582827	45.0582827
TCGA-A8-A07U	14	0	0
TCGA-A8-A07W	27	0.200001767	20.0001767
TCGA-A8-A07Z	13	0	0
TCGA-A8-A081	13	0.184790951	18.4790951
TCGA-A8-A082	4	0	0
TCGA-A8-A083	2	0	0
TCGA-A8-A084	17	0	0
TCGA-A8-A085	21	0.242692614	24.2692614
TCGA-A8-A086	5	0	0
TCGA-A8-A08A	5	0.016134367	1.6134367
TCGA-A8-A08B	15	0	0
TCGA-A8-A08C	0	NA	NA
TCGA-A8-A08F	37	0.150543327	15.0543327
TCGA-A8-A08G	14	0	0
TCGA-A8-A08I	17	0.272448682	27.2448682
TCGA-A8-A08J	18	0	0
TCGA-A8-A08L	37	0.35759594	35.759594
TCGA-A8-A08O	24	0	0
TCGA-A8-A08P	23	0	0
TCGA-A8-A08R	37	0.456839316	45.6839316
TCGA-A8-A08S	10	0.099079153	9.9079153
TCGA-A8-A08T	3	0.103224102	10.3224102
TCGA-A8-A08X	30	0	0
TCGA-A8-A08Z	11	0	0
TCGA-A8-A090	24	0	0
TCGA-A8-A091	15	0	0
TCGA-A8-A092	10	0	0
TCGA-A8-A093	11	0	0
TCGA-A8-A094	38	0.123070789	12.3070789
TCGA-A8-A095	11	0	0
TCGA-A8-A096	12	0.01724639	1.724639
TCGA-A8-A097	25	0.078730612	7.8730612
TCGA-A8-A099	5	0	0
TCGA-A8-A09A	30	0.183048484	18.3048484
TCGA-A8-A09B	23	0.13396244	13.396244
TCGA-A8-A09C	12	0	0
TCGA-A8-A09D	10	0	0
TCGA-A8-A09E	10	0.088447018	8.8447018
TCGA-A8-A09G	8	0	0
TCGA-A8-A09I	14	0	0
TCGA-A8-A09K	19	0.132535584	13.2535584
TCGA-A8-A09M	36	0.608607085	60.8607085
TCGA-A8-A09N	10	0	0
TCGA-A8-A09Q	33	0.156417758	15.6417758
TCGA-A8-A09R	24	0	0
TCGA-A8-A09T	6	0	0
TCGA-A8-A09V	0	0.468343017	46.8343017
TCGA-A8-A09W	31	0.268912132	26.8912132
TCGA-A8-A09X	32	0	0
TCGA-A8-A09Z	4	0	0
TCGA-A8-A0A1	20	0	0
TCGA-A8-A0A2	6	0	0
TCGA-A8-A0A4	19	0	0
TCGA-A8-A0A6	7	1	100
TCGA-A8-A0A9	12	0	0
TCGA-A8-A0AB	10	0	0
TCGA-A8-A0AD	6	0	0
TCGA-AC-A23C	12	0.21514756	21.514756
TCGA-AC-A23E	6	0.113252455	11.3252455
TCGA-AC-A23G	5	0	0
TCGA-AC-A23H	10	0	0
TCGA-AC-A2B8	31	0.10604102	10.604102
TCGA-AC-A2BK	18	0.383240606	38.3240606
TCGA-AC-A2BM	17	0	0
TCGA-AC-A2FE	5	0	0
TCGA-AC-A2FF	7	0.522051914	52.2051914
TCGA-AC-A2FG	4	0.108289908	10.8289908
TCGA-AC-A2FK	6	1	100
TCGA-AC-A2FM	7	0.264338356	26.4338356
TCGA-AC-A2FO	8	0.006415718	0.6415718
TCGA-AC-A2QH	23	0	0
TCGA-AC-A2QI	2	0	0
TCGA-AC-A2QJ	2	0	0
TCGA-AC-A3BB	4	0	0
TCGA-AC-A3EH	6	0	0
TCGA-AC-A3HN	3	0	0
TCGA-AC-A3OD	8	0	0
TCGA-AC-A3QP	3	0	0
TCGA-AC-A3QQ	2	NA	NA
TCGA-AC-A3TM	3	0.174509346	17.4509346
TCGA-AC-A3TN	0	0.090826684	9.0826684
TCGA-AC-A3W5	29	0.461914808	46.1914808
TCGA-AC-A3W7	2	0	0
TCGA-AC-A5EH	18	0.486731987	48.6731987
TCGA-AC-A5EI	8	0	0
TCGA-AC-A5XS	11	0.033745385	3.3745385
TCGA-AC-A5XU	19	0	0
TCGA-AC-A62V	11	NA	NA
TCGA-AC-A62X	17	0	0
TCGA-AC-A62Y	12	0.135570019	13.5570019
TCGA-AC-A6IV	9	NA	NA
TCGA-AC-A6IW	23	NA	NA
TCGA-AC-A6IX	5	NA	NA
TCGA-AC-A6NO	4	NA	NA
TCGA-AC-A7VB	12	NA	NA
TCGA-AC-A7VC	9	NA	NA
TCGA-AC-A8OP	21	NA	NA
TCGA-AN-A03X	2	0	0
TCGA-AN-A03Y	16	0	0
TCGA-AN-A041	22	0	0
TCGA-AN-A046	3	0	0
TCGA-AN-A049	19	0	0
TCGA-AN-A04A	21	0	0
TCGA-AN-A04C	9	0	0
TCGA-AN-A04D	31	0.693585481	69.3585481
TCGA-AN-A0AJ	16	0.058266762	5.8266762
TCGA-AN-A0AK	15	0	0
TCGA-AN-A0AL	34	0.261583632	26.1583632
TCGA-AN-A0AM	15	0	0
TCGA-AN-A0AR	34	0.603429554	60.3429554
TCGA-AN-A0AS	29	0.266800542	26.6800542
TCGA-AN-A0AT	30	0.499443962	49.9443962
TCGA-AN-A0FD	8	0.40439521	40.439521
TCGA-AN-A0FF	6	0	0
TCGA-AN-A0FJ	15	0.015043207	1.5043207
TCGA-AN-A0FK	11	0	0
TCGA-AN-A0FL	31	0.308671258	30.8671258
TCGA-AN-A0FN	3	0.265008957	26.5008957
TCGA-AN-A0FS	11	0	0
TCGA-AN-A0FT	19	0.068424523	6.8424523
TCGA-AN-A0FV	21	0.098719535	9.8719535
TCGA-AN-A0FW	18	0.271780872	27.1780872
TCGA-AN-A0FX	37	0.430351444	43.0351444
TCGA-AN-A0FY	19	0	0
TCGA-AN-A0FZ	11	0	0
TCGA-AN-A0G0	14	0	0
TCGA-AN-A0XL	8	0	0
TCGA-AN-A0XN	33	0.512323987	51.2323987
TCGA-AN-A0XO	13	0	0
TCGA-AN-A0XP	5	0	0
TCGA-AN-A0XR	1	0.064762761	6.4762761
TCGA-AN-A0XS	26	0	0
TCGA-AN-A0XT	14	0	0
TCGA-AN-A0XU	34	0.271565694	27.1565694
TCGA-AN-A0XV	3	0	0
TCGA-AN-A0XW	8	0	0
TCGA-AO-A03L	10	0	0
TCGA-AO-A03M	9	0.030971979	3.0971979
TCGA-AO-A03N	11	0	0
TCGA-AO-A03O	14	0.273935057	27.3935057
TCGA-AO-A03P	11	0.156663727	15.6663727
TCGA-AO-A03R	16	0	0
TCGA-AO-A03T	24	0.108019635	10.8019635
TCGA-AO-A03U	0	0	0
TCGA-AO-A03V	15	0	0
TCGA-AO-A0J2	33	0.395160183	39.5160183
TCGA-AO-A0J3	16	0	0
TCGA-AO-A0J4	33	0.257757875	25.7757875
TCGA-AO-A0J5	8	0.120841489	12.0841489
TCGA-AO-A0J6	34	0.571538186	57.1538186
TCGA-AO-A0J7	4	0	0
TCGA-AO-A0J8	1	0	0
TCGA-AO-A0J9	25	0	0
TCGA-AO-A0JA	12	0.060339717	6.0339717
TCGA-AO-A0JB	42	0.028308646	2.8308646
TCGA-AO-A0JC	9	0.455607837	45.5607837
TCGA-AO-A0JD	22	0.341239779	34.1239779
TCGA-AO-A0JE	13	0	0
TCGA-AO-A0JF	2	0.192303184	19.2303184
TCGA-AO-A0JG	23	NA	NA
TCGA-AO-A0JI	4	0	0
TCGA-AO-A0JJ	24	0	0
TCGA-AO-A0JL	24	0.047749312	4.7749312
TCGA-AO-A0JM	18	0	0
TCGA-AO-A124	34	0.401250116	40.1250116
TCGA-AO-A125	13	0	0
TCGA-AO-A126	9	0	0
TCGA-AO-A128	24	0	0
TCGA-AO-A129	34	0.231156627	23.1156627
TCGA-AO-A12A	7	0	0
TCGA-AO-A12B	4	0	0
TCGA-AO-A12D	16	0	0
TCGA-AO-A12F	26	0	0
TCGA-AO-A12G	11	0.218839889	21.8839889
TCGA-AO-A12H	2	0	0
TCGA-AO-A1KP	6	0	0
TCGA-AO-A1KQ	40	NA	NA
TCGA-AO-A1KR	15	0.294645339	29.4645339
TCGA-AO-A1KS	14	0	0
TCGA-AO-A1KT	10	0	0
TCGA-AQ-A04H	12	0	0
TCGA-AQ-A04J	33	0.204876117	20.4876117
TCGA-AQ-A04L	10	0	0
TCGA-AQ-A0Y5	12	0.03692676	3.692676
TCGA-AQ-A1H2	11	0	0
TCGA-AQ-A1H3	5	0	0
TCGA-AQ-A54N	10	0.205924333	20.5924333
TCGA-AQ-A54O	13	0	0
TCGA-AR-A0TP	32	NA	NA
TCGA-AR-A0TR	9	NA	NA
TCGA-AR-A0TS	34	0	0
TCGA-AR-A0TT	22	NA	NA
TCGA-AR-A0TV	18	NA	NA
TCGA-AR-A0TW	28	NA	NA
TCGA-AR-A0TX	10	0.028803811	2.8803811
TCGA-AR-A0TY	13	0	0
TCGA-AR-A0TZ	8	NA	NA
TCGA-AR-A0U0	14	0	0
TCGA-AR-A0U1	37	0.40164301	40.164301
TCGA-AR-A0U2	27	0	0
TCGA-AR-A0U3	13	0.003189271	0.3189271
TCGA-AR-A0U4	39	NA	NA
TCGA-AR-A1AH	17	0.015886283	1.5886283
TCGA-AR-A1AI	22	0.044916551	4.4916551
TCGA-AR-A1AJ	28	0	0
TCGA-AR-A1AK	4	0	0
TCGA-AR-A1AL	7	0.018516846	1.8516846
TCGA-AR-A1AM	13	0.235541955	23.5541955
TCGA-AR-A1AN	6	0	0
TCGA-AR-A1AP	6	0	0
TCGA-AR-A1AQ	16	0.284054737	28.4054737
TCGA-AR-A1AR	8	0	0
TCGA-AR-A1AS	10	0	0
TCGA-AR-A1AU	13	0	0
TCGA-AR-A1AV	11	0	0
TCGA-AR-A1AY	14	0	0
TCGA-AR-A24H	34	0.47485471	47.485471
TCGA-AR-A24K	10	0.030082834	3.0082834
TCGA-AR-A24L	22	0.423826071	42.3826071
TCGA-AR-A24M	20	0	0
TCGA-AR-A24P	1	0	0
TCGA-AR-A24Q	41	0.35098189	35.098189
TCGA-AR-A24R	9	0.009365046	0.9365046
TCGA-AR-A24S	18	0.037761318	3.7761318
TCGA-AR-A24U	7	0	0
TCGA-AR-A24V	10	0	0
TCGA-AR-A24W	7	0	0
TCGA-AR-A24X	3	0	0
TCGA-AR-A24Z	10	0.19606015	19.606015
TCGA-AR-A250	11	0	0
TCGA-AR-A251	33	0.56314518	56.314518
TCGA-AR-A254	13	0	0
TCGA-AR-A255	16	0	0
TCGA-AR-A256	25	0.531462196	53.1462196
TCGA-AR-A2LE	1	0	0
TCGA-AR-A2LH	4	0	0
TCGA-AR-A2LJ	5	0	0
TCGA-AR-A2LK	2	0	0
TCGA-AR-A2LL	12	0	0
TCGA-AR-A2LM	7	0.33819742	33.819742
TCGA-AR-A2LN	1	0	0
TCGA-AR-A2LO	14	0	0
TCGA-AR-A2LQ	5	0	0
TCGA-AR-A2LR	24	0.141710776	14.1710776
TCGA-AR-A5QN	4	0	0
TCGA-AR-A5QP	4	0	0
TCGA-AR-A5QQ	9	0.369070404	36.9070404
TCGA-B6-A0I1	19	0	0
TCGA-B6-A0I2	13	0	0
TCGA-B6-A0I5	1	0	0
TCGA-B6-A0I6	36	0.502892588	50.2892588
TCGA-B6-A0I8	31	0.454358793	45.4358793
TCGA-B6-A0I9	12	0	0
TCGA-B6-A0IA	13	0	0
TCGA-B6-A0IB	14	0.137400069	13.7400069
TCGA-B6-A0IC	0	0	0
TCGA-B6-A0IE	6	0.103578239	10.3578239
TCGA-B6-A0IG	8	0	0
TCGA-B6-A0IJ	27	0.575186689	57.5186689
TCGA-B6-A0IK	6	0	0
TCGA-B6-A0IM	8	0.216249801	21.6249801
TCGA-B6-A0IN	6	0	0
TCGA-B6-A0IO	23	0	0
TCGA-B6-A0IP	2	0	0
TCGA-B6-A0IQ	29	0	0
TCGA-B6-A0RE	12	0.230890027	23.0890027
TCGA-B6-A0RG	21	0.579420265	57.9420265
TCGA-B6-A0RH	12	0.059938726	5.9938726
TCGA-B6-A0RI	7	0	0
TCGA-B6-A0RL	13	NA	NA
TCGA-B6-A0RM	1	NA	NA
TCGA-B6-A0RN	0	0	0
TCGA-B6-A0RO	6	0.20395438	20.395438
TCGA-B6-A0RP	5	0	0
TCGA-B6-A0RS	39	NA	NA
TCGA-B6-A0RU	18	0.070447681	7.0447681
TCGA-B6-A0RV	14	0	0
TCGA-B6-A0WS	10	0.013183057	1.3183057
TCGA-B6-A0WT	9	0	0
TCGA-B6-A0WV	12	0	0
TCGA-B6-A0WW	7	0	0
TCGA-B6-A0WX	12	0	0
TCGA-B6-A0WY	14	0	0
TCGA-B6-A0WZ	2	0	0
TCGA-B6-A0X0	2	0	0
TCGA-B6-A0X1	33	0.375834808	37.5834808
TCGA-B6-A0X5	2	0	0
TCGA-B6-A0X7	8	0	0
TCGA-B6-A1KC	5	0.073335616	7.3335616
TCGA-B6-A1KF	7	0.140706965	14.0706965
TCGA-B6-A1KI	5	0.133324879	13.3324879
TCGA-B6-A1KN	23	0	0
TCGA-B6-A2IU	3	0	0
TCGA-B6-A400	30	0.311903342	31.1903342
TCGA-B6-A401	9	0.029310066	2.9310066
TCGA-B6-A402	13	0	0
TCGA-B6-A408	6	0.119641035	11.9641035
TCGA-B6-A409	16	0	0
TCGA-B6-A40B	12	0.235221297	23.5221297
TCGA-B6-A40C	3	0.091035534	9.1035534
TCGA-BH-A0AU	13	0	0
TCGA-BH-A0AV	27	0.281064208	28.1064208
TCGA-BH-A0AW	16	0.160156447	16.0156447
TCGA-BH-A0AY	15	0	0
TCGA-BH-A0AZ	36	0.162409067	16.2409067
TCGA-BH-A0B0	3	0	0
TCGA-BH-A0B1	9	0.062255677	6.2255677
TCGA-BH-A0B2	20	NA	NA
TCGA-BH-A0B3	31	0	0
TCGA-BH-A0B4	40	0.067535906	6.7535906
TCGA-BH-A0B5	19	0	0
TCGA-BH-A0B6	15	0	0
TCGA-BH-A0B7	16	0.189791316	18.9791316
TCGA-BH-A0B8	10	0	0
